管理都道府県・整備局,管理市区町村,公園名,公園種別,所在地都道府県名,所在地市区町村名,供用開始年,供用済面積（m2）,都市計画決定,備考,lat,lon,type
栃木県,宇都宮市,東宝木１号児童公園,街区公園,栃木県,宇都宮市,1985,155.0,未決定,,36.57752047,139.86633551,small
栃木県,宇都宮市,鶴田４号児童公園,街区公園,栃木県,宇都宮市,1985,150.0,未決定,,36.55492473,139.85917243,small
栃木県,宇都宮市,鶴田５号児童公園,街区公園,栃木県,宇都宮市,1985,150.0,未決定,,36.55479921,139.86098789,small
栃木県,宇都宮市,雀宮東原児童公園,街区公園,栃木県,宇都宮市,1985,436.0,未決定,,36.50374036,139.86873263,small
栃木県,宇都宮市,簗瀬３号公園,街区公園,栃木県,宇都宮市,1985,358.0,未決定,,36.54297276,139.88772433,small
栃木県,宇都宮市,あすなろ第１児童公園,街区公園,栃木県,宇都宮市,1985,415.0,未決定,,36.5060826,139.85354952,small
栃木県,宇都宮市,あすなろ第２児童公園,街区公園,栃木県,宇都宮市,1985,209.0,未決定,,36.5061035,139.85359756,small
栃木県,宇都宮市,双葉３号児童公園,街区公園,栃木県,宇都宮市,1985,169.0,未決定,,36.525648,139.85816229,small
栃木県,宇都宮市,上駒生２号児童公園,街区公園,栃木県,宇都宮市,1985,150.0,未決定,,36.60126569,139.84757629,small
栃木県,宇都宮市,鍋久保児童公園,街区公園,栃木県,宇都宮市,1985,201.0,未決定,,36.57308881,139.92186618,small
栃木県,宇都宮市,鶴田６号児童公園,街区公園,栃木県,宇都宮市,1985,246.0,未決定,,36.55201902,139.84893712,small
栃木県,宇都宮市,西川田１０号児童公園,街区公園,栃木県,宇都宮市,1985,150.0,未決定,,36.51113724,139.85001701,small
栃木県,宇都宮市,十郎が峰児童公園,街区公園,栃木県,宇都宮市,1985,190.0,未決定,,36.5686136,139.84332641,small
栃木県,宇都宮市,平松町児童公園,街区公園,栃木県,宇都宮市,1986,396.0,未決定,,36.54914563,139.90969316,small
栃木県,宇都宮市,御幸ヶ原南児童公園,街区公園,栃木県,宇都宮市,1986,251.0,未決定,,36.58803192,139.92197828,small
栃木県,宇都宮市,陽向台西公園,街区公園,栃木県,宇都宮市,1986,326.0,未決定,,36.58432587,139.88000177,small
栃木県,宇都宮市,ローズタウン３号児童公園,街区公園,栃木県,宇都宮市,1986,444.0,未決定,,36.58266954,139.88925483,small
栃木県,宇都宮市,西田４号児童公園,街区公園,栃木県,宇都宮市,1987,151.0,未決定,,36.49732358,139.86946209,small
栃木県,宇都宮市,上野東児童公園,街区公園,栃木県,宇都宮市,1987,150.0,未決定,,36.5772753,139.9374624,small
栃木県,宇都宮市,今泉新町１号児童公園,街区公園,栃木県,宇都宮市,1987,172.0,未決定,,36.57371266,139.90964638,small
栃木県,宇都宮市,石井３号児童公園,街区公園,栃木県,宇都宮市,1987,154.0,未決定,,36.53559943,139.91839483,small
栃木県,宇都宮市,竹林１号児童公園,街区公園,栃木県,宇都宮市,1987,150.0,未決定,,36.57973754,139.91296994,small
栃木県,宇都宮市,天狗台２号児童公園,街区公園,栃木県,宇都宮市,1987,535.0,未決定,,36.49053347,139.86515643,small
栃木県,宇都宮市,鶴田西児童公園,街区公園,栃木県,宇都宮市,1987,173.0,未決定,,36.55546916,139.85264636,small
栃木県,宇都宮市,三の沢北児童公園,街区公園,栃木県,宇都宮市,1987,164.0,未決定,,36.56817992,139.85545846,small
栃木県,宇都宮市,雀宮団地南児童公園,街区公園,栃木県,宇都宮市,1987,522.0,未決定,,36.49766091,139.87213001,small
栃木県,宇都宮市,みどり台団地児童公園,街区公園,栃木県,宇都宮市,1988,420.0,未決定,,36.51775356,139.85431848,small
栃木県,宇都宮市,ひばり児童公園,街区公園,栃木県,宇都宮市,1988,187.0,未決定,,36.5622582,139.91911535,small
栃木県,宇都宮市,西川田南児童公園,街区公園,栃木県,宇都宮市,1988,150.0,未決定,,36.51191844,139.84357167,small
栃木県,宇都宮市,北原４号児童公園,街区公園,栃木県,宇都宮市,1988,232.0,未決定,,36.5538999,139.84507997,small
栃木県,宇都宮市,北原５号児童公園,街区公園,栃木県,宇都宮市,1988,162.0,未決定,,36.55351223,139.8463125,small
栃木県,宇都宮市,竹林２号児童公園,街区公園,栃木県,宇都宮市,1988,185.0,未決定,,36.57534272,139.90927037,small
栃木県,宇都宮市,竹林３号児童公園,街区公園,栃木県,宇都宮市,1988,547.0,未決定,,36.57693405,139.91069208,small
栃木県,宇都宮市,東峰竹児童公園,街区公園,栃木県,宇都宮市,1988,162.0,未決定,,36.54290335,139.92393282,small
栃木県,宇都宮市,一里児童公園,街区公園,栃木県,宇都宮市,1988,968.0,決定,,36.52683153,139.88453893,small
栃木県,宇都宮市,はなぶさ児童公園,街区公園,栃木県,宇都宮市,1989,645.0,未決定,,36.54935103,139.87657889,small
栃木県,宇都宮市,宮原６号児童公園,街区公園,栃木県,宇都宮市,1989,150.0,未決定,,36.53502977,139.86465551,small
栃木県,宇都宮市,江曽島並松児童公園,街区公園,栃木県,宇都宮市,1989,160.0,未決定,,36.5293729,139.87514579,small
栃木県,宇都宮市,松ヶ丘児童公園,街区公園,栃木県,宇都宮市,1989,331.0,未決定,,36.58891795,139.87256883,small
栃木県,宇都宮市,下栗２号児童公園,街区公園,栃木県,宇都宮市,1989,238.0,未決定,,36.52553177,139.92032575,small
栃木県,宇都宮市,宝木本町１号児童公園,街区公園,栃木県,宇都宮市,1989,150.0,未決定,,36.60196395,139.85511773,small
栃木県,宇都宮市,宝木本町２号児童公園,街区公園,栃木県,宇都宮市,1989,304.0,未決定,,36.60120755,139.85005697,small
栃木県,宇都宮市,駒生６号児童公園,街区公園,栃木県,宇都宮市,1989,815.0,未決定,,36.57740415,139.83621898,small
栃木県,宇都宮市,西川田下原児童公園,街区公園,栃木県,宇都宮市,1989,211.0,未決定,,36.50892769,139.8466379,small
栃木県,宇都宮市,鶴田東原児童公園,街区公園,栃木県,宇都宮市,1989,297.0,未決定,,36.55835461,139.85491854,small
栃木県,宇都宮市,北若松原１号児童公園,街区公園,栃木県,宇都宮市,1989,262.0,未決定,,36.50621483,139.86280542,small
栃木県,宇都宮市,新田１号児童公園,街区公園,栃木県,宇都宮市,1989,150.0,未決定,,36.49158018,139.85483115,small
栃木県,宇都宮市,倍木北児童公園,街区公園,栃木県,宇都宮市,1990,184.0,未決定,,36.57897454,139.87296265,small
栃木県,宇都宮市,江曽島５号児童公園,街区公園,栃木県,宇都宮市,1990,150.0,未決定,,36.52353841,139.86776574,small
栃木県,宇都宮市,細谷２号児童公園,街区公園,栃木県,宇都宮市,1990,150.0,未決定,,36.58769237,139.85154035,small
栃木県,宇都宮市,下栗東原児童公園,街区公園,栃木県,宇都宮市,1990,630.0,未決定,,36.52345929,139.91576619,small
栃木県,宇都宮市,竹林４号児童公園,街区公園,栃木県,宇都宮市,1990,150.0,未決定,,36.57667948,139.91212226,small
栃木県,宇都宮市,竹林向原児童公園,街区公園,栃木県,宇都宮市,1990,398.0,未決定,,36.57787354,139.9141475,small
栃木県,宇都宮市,御幸ヶ原道下児童公園,街区公園,栃木県,宇都宮市,1990,178.0,未決定,,36.59087942,139.9247621,small
栃木県,宇都宮市,鶴田長峰児童公園,街区公園,栃木県,宇都宮市,1990,150.0,未決定,,36.55961192,139.84604074,small
栃木県,宇都宮市,鶴田前畑児童公園,街区公園,栃木県,宇都宮市,1990,150.0,未決定,,36.54491202,139.85314307,small
栃木県,宇都宮市,和尚塚児童公園,街区公園,栃木県,宇都宮市,1990,407.0,未決定,,36.57193869,139.86430361,small
栃木県,宇都宮市,東駒生児童公園,街区公園,栃木県,宇都宮市,1990,312.0,未決定,,36.58614102,139.83171173,small
栃木県,宇都宮市,桜ヶ丘児童公園,街区公園,栃木県,宇都宮市,1990,155.0,未決定,,36.61198693,139.9202171,small
栃木県,宇都宮市,五代３丁目児童公園,街区公園,栃木県,宇都宮市,1990,166.0,未決定,,36.49718521,139.86365502,small
栃木県,宇都宮市,御幸ヶ原祝神児童公園,街区公園,栃木県,宇都宮市,1990,150.0,未決定,,36.58582713,139.92108625,small
栃木県,宇都宮市,下栗ヶ丘南児童公園,街区公園,栃木県,宇都宮市,1990,209.0,未決定,,36.53536305,139.89682395,small
栃木県,宇都宮市,下栗ヶ丘北児童公園,街区公園,栃木県,宇都宮市,1990,165.0,未決定,,36.53606642,139.89672383,small
栃木県,宇都宮市,月見ヶ丘児童公園,街区公園,栃木県,宇都宮市,1991,278.0,未決定,,36.53972377,139.92628579,small
栃木県,宇都宮市,なかよし児童公園,街区公園,栃木県,宇都宮市,1991,153.0,未決定,,36.59219468,139.93079757,small
