,code,都道府県,市区町村,総人口,刑法犯総数,犯罪率(件/1000人)
455,14151,神奈川県,緑区,173612,555,3.1967836324678016
456,14114,神奈川県,瀬谷区,124560,556,4.463712267180475
457,14115,神奈川県,栄区,122171,369,3.0203567131315943
458,14116,神奈川県,泉区,154025,520,3.3760753124492777
459,14117,神奈川県,青葉区,309692,713,2.302287433966651
460,14118,神奈川県,都筑区,211751,625,2.9515799217004877
461,14130,神奈川県,川崎市,1475213,6210,4.209561602290652
462,14131,神奈川県,川崎区,223378,1994,8.926572894376347
463,14132,神奈川県,幸区,160890,674,4.189197588414444
464,14133,神奈川県,中原区,247529,795,3.211744886457748
465,14134,神奈川県,高津区,228141,987,4.32627191079201
466,14135,神奈川県,多摩区,214158,855,3.9923794581570617
467,14136,神奈川県,宮前区,225594,492,2.1809090667304982
468,14137,神奈川県,麻生区,175523,412,2.3472707280527336
469,14150,神奈川県,相模原市,720780,3276,4.545076167485224
470,14113,神奈川県,緑区,180366,796,4.413248616701596
471,14151,神奈川県,緑区,173612,796,4.584936525124991
472,14152,神奈川県,中央区,269888,1280,4.742708086317288
473,14105,神奈川県,南区,194827,1200,6.159310567837107
474,14153,神奈川県,南区,277280,1200,4.327755337564916
475,14201,神奈川県,横須賀市,406586,1135,2.7915373377342063
476,14203,神奈川県,平塚市,258227,916,3.54726655229701
477,14204,神奈川県,鎌倉市,173019,540,3.1210445095625334
478,14205,神奈川県,藤沢市,423894,1681,3.9656140450206894
479,14206,神奈川県,小田原市,194086,749,3.859114001009862
480,14207,神奈川県,茅ヶ崎市,239348,790,3.300633387369019
481,14208,神奈川県,逗子市,57425,158,2.7514148889856336
482,14210,神奈川県,三浦市,45289,141,3.1133387798361634
483,14211,神奈川県,秦野市,167378,459,2.7422958811791274
484,14212,神奈川県,厚木市,225714,1033,4.5765880716304705
485,14213,神奈川県,大和市,232922,1152,4.945861704776707
486,14214,神奈川県,伊勢原市,101514,373,3.6743700376302777
487,14215,神奈川県,海老名市,130190,655,5.031108380059913
488,14216,神奈川県,座間市,128737,648,5.033517947443237
489,14217,神奈川県,南足柄市,43306,88,2.032050986006558
490,14218,神奈川県,綾瀬市,84460,295,3.492777646223064
491,14301,神奈川県,葉山町,32096,45,1.4020438683948155
492,14321,神奈川県,寒川町,47936,205,4.276535380507343
493,14341,神奈川県,大磯町,31550,82,2.59904912836767
494,14342,神奈川県,二宮町,28378,58,2.0438367749665236
495,14361,神奈川県,中井町,9679,17,1.7563797913007542
496,14362,神奈川県,大井町,17033,55,3.229026008336758
497,14363,神奈川県,松田町,11171,50,4.475875033569063
498,14364,神奈川県,山北町,10724,17,1.5852293920179037
499,14366,神奈川県,開成町,17013,41,2.4099218244871565
500,14382,神奈川県,箱根町,11786,48,4.072628542338368
501,14383,神奈川県,真鶴町,7333,8,1.0909586799399973
502,14384,神奈川県,湯河原町,25026,85,3.3964676736194357
503,14401,神奈川県,愛川町,40343,165,4.089928860025283
504,14402,神奈川県,清川村,3214,4,1.2445550715619167
